Plate,Datetime,Status
BAAG101BAGHATI,2025-07-29 17:27:29,Unauthorized
BAAG1O1BAGMATI,2025-07-29 17:27:30,Unauthorized
BAA01O1BAGMATI,2025-07-29 17:27:30,Unauthorized
KBAA0101BAGMATI,2025-07-29 17:27:31,Unauthorized
KBAAG1O1B4GM4TI,2025-07-29 17:27:32,Unauthorized
BAA01O1EAGMATI,2025-07-29 17:27:32,Unauthorized
BAA01O1BAGMAR,2025-07-29 17:27:33,Unauthorized
BAA01O1BAGMAT,2025-07-29 17:27:33,Unauthorized
BBAA0101BAGMATI,2025-07-29 17:27:34,Unauthorized
BAA01D1BAGMATI,2025-07-29 17:27:34,Unauthorized
BAAG1D13,2025-07-29 17:27:36,Unauthorized
BAA1O1BAGMATI,2025-07-29 17:27:36,Unauthorized
BAA01O134G447,2025-07-29 17:27:37,Unauthorized
BAA01013ACU4T,2025-07-29 17:27:38,Unauthorized
BAA0101BAGMAT,2025-07-29 17:27:38,Unauthorized
6BAA0101BAGMATI,2025-07-29 17:27:39,Unauthorized
56AAG101AOVI,2025-07-30 17:35:20,Unauthorized
AA0101BAGMATI,2025-07-30 17:35:22,Unauthorized
3AA01I0AGMAN,2025-07-30 17:35:24,Unauthorized
3AA01DIB46VRIH,2025-07-30 17:35:25,Unauthorized
AA6101MADHAT,2025-07-30 17:35:26,Unauthorized
3AAG1D19A04,2025-07-30 17:35:27,Unauthorized
BAAG1DIBAUATI,2025-07-30 17:35:28,Unauthorized
3AAG101048N,2025-07-30 17:35:30,Unauthorized
3AA0101WADAM,2025-07-30 17:35:30,Unauthorized
AA01DIAA,2025-07-30 17:35:31,Unauthorized
AAG101BAGVA,2025-07-30 17:35:33,Unauthorized
AAG101BAGMATI,2025-07-30 17:35:34,Unauthorized
AA0101AGMAU,2025-07-30 17:35:35,Unauthorized
AAG10135,2025-07-30 17:35:37,Unauthorized
BAAG101DAGVAT,2025-07-30 17:35:38,Unauthorized
BAA0101VAUA,2025-07-30 17:35:40,Unauthorized
BAAG101EAGMAM,2025-07-30 17:35:41,Unauthorized
BAAG10LEADUN,2025-07-30 17:35:42,Unauthorized
BAAG101BAGUATI,2025-07-30 17:35:45,Unauthorized
BAAG101LBAGMATI,2025-07-30 17:35:46,Unauthorized
BAAG101YBAGMATI,2025-07-30 17:35:46,Unauthorized
BAAG101BAGMATI,2025-07-30 17:35:47,Unauthorized
BAA0101BAGMATI,2025-07-30 17:35:48,Authorized
BAAG1O1AAEAT,2025-07-30 17:35:49,Unauthorized
BAAG1O1JBAGMATI,2025-07-30 17:35:50,Unauthorized
BAA0101BAGHATI,2025-07-30 17:35:51,Unauthorized
BA40101BAGMATI,2025-07-30 17:35:52,Unauthorized
BAAG101IGUT,2025-07-30 17:35:53,Unauthorized
BAAG101,2025-07-30 17:35:54,Unauthorized
BAA01010AONAN,2025-07-30 17:35:55,Unauthorized
3544PM,2025-07-30 17:35:58,Unauthorized
BAA0101,2025-07-30 17:36:02,Unauthorized
EAAG101,2025-07-30 17:36:03,Unauthorized
5AAG101,2025-07-30 17:36:04,Unauthorized
50AA0101,2025-07-30 17:36:04,Unauthorized
ERAAG101,2025-07-30 17:36:05,Unauthorized
5PAAC1G1,2025-07-30 17:36:06,Unauthorized
50A40101,2025-07-30 17:36:07,Unauthorized
EBAA01017,2025-07-30 17:36:07,Unauthorized
ATAMT,2025-07-30 17:36:08,Unauthorized
BA404DI,2025-07-30 17:36:17,Unauthorized
AA0161VWR,2025-07-30 17:36:17,Unauthorized
3AAG101OAUMATI,2025-07-30 17:36:18,Unauthorized
BAA1010UNAM,2025-07-30 17:36:19,Unauthorized
8AA0101BAGMATI,2025-07-30 17:36:20,Unauthorized
TROLSYSTCM,2025-07-30 17:36:21,Unauthorized
IROLSYATCM,2025-07-30 17:36:21,Unauthorized
UOLSYSTCM,2025-07-30 17:36:22,Unauthorized
KROLSYSTCM,2025-07-30 17:36:22,Unauthorized
VROLSYATEM,2025-07-30 17:36:23,Unauthorized
FEED30JUL2025053609PM,2025-07-30 17:36:24,Unauthorized
JUL2025053610PM,2025-07-30 17:36:24,Unauthorized
AA01D1TGUIT,2025-07-30 17:36:28,Unauthorized
AA0101BAGMATI,2025-07-30 17:36:30,Unauthorized
AA101BAGMATI,2025-07-30 17:36:31,Unauthorized
AAG101BAGMATI,2025-07-30 17:36:36,Unauthorized
1A0101BAGMATI,2025-07-30 17:36:45,Unauthorized
AA0101AGKATI,2025-07-30 17:36:48,Unauthorized
BAAG1DIE3N,2025-07-30 17:36:49,Unauthorized
AA01O1BAGHATI,2025-07-30 17:36:50,Unauthorized
AA0101BAGMATI,2025-07-30 17:36:51,Unauthorized
AA01G1BAGMATI,2025-07-30 17:36:55,Unauthorized
AA101BAGMATI,2025-07-30 17:36:56,Unauthorized
3AA0101BAGMATI,2025-07-30 17:37:02,Unauthorized
RIZED,2025-07-30 17:37:10,Unauthorized
AA0101BAGMATI,2025-07-30 17:37:11,Unauthorized
3AAG10IBAGMATI,2025-07-30 17:37:14,Unauthorized
3AAG101WU,2025-07-30 17:37:15,Unauthorized
AAG101WN,2025-07-30 17:37:17,Unauthorized
AA0101AAI,2025-07-30 17:37:19,Unauthorized
AAG101M,2025-07-30 17:37:20,Unauthorized
AA010,2025-07-30 17:37:21,Unauthorized
BAAG101WUAR,2025-07-30 17:37:22,Unauthorized
AAO1O1BAGVATI,2025-07-30 17:37:24,Unauthorized
AAG1G1MAUMAI,2025-07-30 17:37:29,Unauthorized
AA0101BAGMATI,2025-07-30 17:37:32,Unauthorized
AAC1G1BAGMATI,2025-07-30 17:37:37,Unauthorized
AAO101BAGMATI,2025-07-30 17:37:42,Unauthorized
AA0101EAGVATI,2025-07-30 17:37:48,Unauthorized
AA0101BAGMATI,2025-07-30 17:37:52,Unauthorized
3AA0101BAGMATI,2025-07-30 17:37:56,Unauthorized
AA01D1BAGMATI,2025-07-30 17:38:08,Unauthorized
BAAO1OIBAGVATI,2025-07-30 17:38:09,Unauthorized
